subject,position_index,fix_bill,recall,recognition,sum_fa,condition,recall_rate,recognition_rate,dprime
sub001,210,32.0,4,14,0.0,count trash,0.2,0.7,6.1364017568828295
sub002,210,45.0,6,11,0.0,count trash,0.3,0.55,5.7376625910298635
sub003,210,13.0,4,3,1.0,count trash,0.2,0.15,-0.3619436392977081
sub004,210,19.0,2,5,0.0,count trash,0.1,0.25,4.9375114939787075
sub005,210,3.0,1,7,1.0,count trash,0.05,0.35,0.289169283788514
sub006,210,5.0,3,4,0.0,count trash,0.15,0.2,4.770380010601875
sub007,210,9.0,1,5,1.0,count trash,0.05,0.25,0.0
sub008,210,4.0,2,6,3.0,count trash,0.1,0.3,-1.1988902629041225
sub009,210,52.0,4,16,0.0,count trash,0.2,0.8,6.453622477747704
sub010,210,30.0,4,6,0.0,count trash,0.2,0.3,5.087600731466749
sub011,210,7.0,1,3,0.0,count trash,0.05,0.15,4.575567854680999
sub012,210,30.0,1,5,0.0,count trash,0.05,0.25,4.9375114939787075
sub013,210,46.0,7,9,0.0,count trash,0.35,0.45,5.486339897319715
sub014,210,1.0,1,4,0.0,count trash,0.05,0.2,4.770380010601875
sub015,210,6.0,2,2,0.0,count trash,0.1,0.1,4.330449678630188
sub016,210,32.0,2,9,0.0,count trash,0.1,0.45,5.486339897319715
sub017,210,30.0,3,6,1.0,count trash,0.15,0.3,0.15008923748804082
sub018,210,23.0,4,9,0.0,count trash,0.2,0.45,5.486339897319715
sub019,210,11.0,2,8,1.0,count trash,0.1,0.4,0.421142647060282
sub020,210,37.0,5,10,0.0,count trash,0.25,0.5,5.612001244174789
sub021,210,42.0,9,14,0.0,free viewing,0.45,0.7,6.1364017568828295
sub022,210,30.0,5,13,1.0,free viewing,0.25,0.65,1.0598102166036494
sub023,210,41.0,9,20,0.0,free viewing,0.45,1.0,11.224002487480295
sub024,210,27.0,8,13,0.0,free viewing,0.4,0.65,5.997321710582357
sub025,210,101.0,4,10,0.0,free viewing,0.2,0.5,5.612001244174789
sub026,210,23.0,8,15,0.0,free viewing,0.4,0.75,6.286490994370871
sub027,210,98.0,6,19,0.0,free viewing,0.3,0.95,7.2568548711262615
sub028,210,56.0,8,8,1.0,free viewing,0.4,0.4,0.421142647060282
sub029,210,57.0,9,19,2.0,free viewing,0.45,0.95,1.6448536269514722
sub030,210,40.0,6,16,0.0,free viewing,0.3,0.8,6.453622477747704
sub031,210,35.0,5,12,0.0,free viewing,0.25,0.6,5.865348347310589
sub032,210,70.0,6,11,0.0,free viewing,0.3,0.55,5.7376625910298635
sub033,210,54.0,4,18,1.0,free viewing,0.2,0.9,1.956041315740682
sub034,210,39.0,6,18,0.0,free viewing,0.3,0.9,6.89355280971939
sub035,210,35.0,6,12,1.0,free viewing,0.3,0.6,0.9278368533318815
sub036,210,80.0,6,13,0.0,free viewing,0.3,0.65,5.997321710582357
sub037,210,75.0,7,15,0.0,free viewing,0.35,0.75,6.286490994370871
sub038,210,72.0,6,13,1.0,free viewing,0.3,0.65,1.0598102166036494
sub039,210,37.0,6,17,0.0,free viewing,0.3,0.85,6.648434633668579
sub040,210,45.0,5,15,0.0,free viewing,0.25,0.75,6.286490994370871
