index,position_index,billboard_named_position,billboard_image_at_position
0,1,billboard_image_1,resources/billboards/texting_driving.bmp
1,2,billboard_image_2,resources/billboards/burger.bmp
2,3,billboard_image_3,resources/billboards/drunk_driving.bmp
3,4,billboard_image_4,resources/billboards/coffee.bmp
4,5,billboard_image_5,resources/billboards/hotel.bmp
5,6,billboard_image_6,resources/billboards/disobey_vape.bmp
6,7,billboard_image_7,resources/billboards/buckle_up.bmp
7,8,billboard_image_8,resources/billboards/pizza.bmp
8,9,billboard_image_9,resources/billboards/lawyer.bmp
9,10,billboard_image_10,resources/billboards/drugged_driving.bmp
10,11,billboard_image_11,resources/billboards/smartphone.bmp
11,12,billboard_image_12,resources/billboards/brunch.bmp
12,13,billboard_image_13,resources/billboards/distracted_driving.bmp
13,14,billboard_image_14,resources/billboards/salad.bmp
14,15,billboard_image_15,resources/billboards/stop_smoking.bmp
15,16,billboard_image_16,resources/billboards/education_donation.bmp
16,17,billboard_image_17,resources/billboards/underage_drinking.bmp
17,18,billboard_image_18,resources/billboards/furniture.bmp
18,19,billboard_image_19,resources/billboards/marijuana_driving.bmp
19,20,billboard_image_20,resources/billboards/binge_drinking.bmp
